Date,Open,High,Low,Close
01/06/1992,417.96,419.44,416.92,417.96
01/07/1992,417.4,417.96,415.2,417.4
01/08/1992,418.1,420.23,415.02,418.1
01/09/1992,417.61,420.5,415.85,417.61
01/10/1992,415.1,417.62,413.31,415.1
01/13/1992,414.34,415.36,413.54,414.34
01/14/1992,420.44,420.44,414.32,420.44
01/15/1992,420.77,421.18,418.79,420.77
01/16/1992,418.21,420.85,415.37,418.21
01/17/1992,418.86,419.45,416.0,418.86
01/20/1992,416.36,418.86,415.8,416.36
01/21/1992,412.64,416.39,411.32,412.64
01/22/1992,418.13,418.13,412.49,418.13
01/23/1992,414.96,419.78,414.36,414.96
01/24/1992,415.48,417.26,414.29,415.48
01/27/1992,414.99,416.84,414.48,414.99
01/28/1992,414.96,416.41,414.54,414.96
01/29/1992,410.34,417.83,409.17,410.34
01/30/1992,411.63,412.17,409.26,411.63
01/31/1992,408.79,412.63,408.64,408.79
02/03/1992,409.53,409.95,407.45,409.53
02/04/1992,413.85,413.85,409.27,413.85
02/05/1992,413.84,416.17,413.18,413.84
02/06/1992,413.82,414.55,411.93,413.82
02/07/1992,411.09,415.29,408.04,411.09
02/10/1992,413.77,413.77,411.07,413.77
02/11/1992,413.76,414.38,412.24,413.76
02/12/1992,417.13,418.08,413.36,417.13
02/13/1992,413.69,417.77,412.07,413.69
02/14/1992,412.48,413.84,411.2,412.48
02/18/1992,407.38,413.27,406.34,407.38
02/19/1992,408.26,408.7,406.54,408.26
02/20/1992,413.9,413.9,408.26,413.9
02/21/1992,411.46,414.26,409.72,411.46
02/24/1992,412.27,412.94,410.34,412.27
02/25/1992,410.45,412.27,408.02,410.45
02/26/1992,415.35,415.35,410.45,415.35
02/27/1992,413.86,415.99,413.47,413.86
02/28/1992,412.7,416.07,411.8,412.7
03/02/1992,412.45,413.74,411.52,412.45
03/03/1992,412.85,413.78,411.88,412.85
03/04/1992,409.33,413.27,409.33,409.33
03/05/1992,406.51,409.33,405.42,406.51
03/06/1992,404.44,407.51,403.65,404.44
03/09/1992,405.21,405.64,404.25,405.21
03/10/1992,406.89,409.16,405.21,406.89
03/11/1992,404.03,407.02,402.64,404.03
03/12/1992,403.89,404.72,401.94,403.89
03/13/1992,405.84,406.69,403.89,405.84
03/16/1992,406.39,406.4,403.55,406.39
03/17/1992,409.58,409.72,406.39,409.58
03/18/1992,409.15,410.84,408.23,409.15
03/19/1992,409.8,410.57,409.12,409.8
03/20/1992,411.3,411.3,408.53,411.3
03/23/1992,409.91,411.3,408.87,409.91
03/24/1992,408.88,411.43,407.99,408.88
03/25/1992,407.52,409.87,407.52,407.52
03/26/1992,407.86,409.44,406.75,407.86
03/27/1992,403.5,407.86,402.87,403.5
03/30/1992,403.0,404.3,402.97,403.0
03/31/1992,403.69,405.21,402.22,403.69
04/01/1992,404.23,404.5,400.75,404.23
04/02/1992,400.5,404.63,399.28,400.5
04/03/1992,401.55,401.59,398.21,401.55
04/06/1992,405.59,405.93,401.52,405.59
04/07/1992,398.06,405.75,397.97,398.06
04/08/1992,394.5,398.06,392.41,394.5
04/09/1992,400.64,401.04,394.5,400.64
04/10/1992,404.29,405.12,400.59,404.29
04/13/1992,406.08,406.08,403.9,406.08
04/14/1992,412.39,413.86,406.08,412.39
04/15/1992,416.28,416.28,412.39,416.28
04/16/1992,416.05,416.28,413.4,416.05
04/20/1992,410.16,416.05,407.93,410.16
04/21/1992,410.26,411.09,408.2,410.26
04/22/1992,409.81,411.3,409.23,409.81
04/23/1992,411.6,411.6,406.86,411.6
04/24/1992,409.02,412.48,408.74,409.02
04/27/1992,408.45,409.6,407.64,408.45
04/28/1992,409.11,409.69,406.33,409.11
04/29/1992,412.02,412.31,409.11,412.02
04/30/1992,414.95,414.95,412.02,414.95
05/01/1992,412.53,415.21,409.87,412.53
05/04/1992,416.91,417.84,412.53,416.91
05/05/1992,416.84,418.53,415.77,416.84
05/06/1992,416.79,418.48,416.4,416.79
05/07/1992,415.85,416.84,415.38,415.85
05/08/1992,416.05,416.85,414.41,416.05
05/11/1992,418.49,418.75,416.05,418.49
05/12/1992,416.29,418.68,414.69,416.29
05/13/1992,416.45,417.04,415.86,416.45
05/14/1992,413.14,416.52,411.82,413.14
05/15/1992,410.09,413.14,409.85,410.09
05/18/1992,412.81,413.34,410.09,412.81
05/19/1992,416.37,416.51,412.26,416.37
05/20/1992,415.39,416.83,415.37,415.39
05/21/1992,412.6,415.41,411.57,412.6
05/22/1992,414.02,414.82,412.6,414.02
